student,number,model,position,side,treatment,distance,seen
18344514,1,1,1,L,S,4,0
18344514,1,2,2,L,Y,5,0
18344514,1,3,3,L,S,5,0
18344514,1,4,4,L,S,1,0
18344514,1,5,5,L,B,2,0
18344514,1,6,6,L,Y,4,0
18344514,1,7,7,L,S,2,0
18344514,1,8,8,L,B,5,0
18344514,1,9,9,L,S,3,0
18344514,1,10,10,L,B,3,0
18344514,1,11,11,L,Y,2,0
18344514,1,12,12,L,B,4,0
18344514,1,13,13,L,B,1,0
18344514,1,14,14,L,Y,3,0
18344514,1,15,15,L,Y,1,0
18344514,1,16,1,R,S,5,0
18344514,1,17,2,R,S,2,0
18344514,1,18,3,R,B,6,0
18344514,1,19,4,R,S,1,0
18344514,1,20,5,R,B,2,0
18344514,1,21,6,R,Y,2,0
18344514,1,22,7,R,B,4,0
18344514,1,23,8,R,Y,4,0
18344514,1,24,9,R,Y,5,0
18344514,1,25,10,R,S,4,0
18344514,1,26,11,R,Y,1,0
18344514,1,27,12,R,Y,3,0
18344514,1,28,13,R,B,5,0
18344514,1,29,14,R,S,3,0
18344514,1,30,15,R,B,1,0
18987254,2,1,1,L,S,4,0
18987254,2,2,2,L,Y,5,0
18987254,2,3,3,L,S,5,0
18987254,2,4,4,L,S,1,0
18987254,2,5,5,L,B,2,0
18987254,2,6,6,L,Y,4,0
18987254,2,7,7,L,S,2,0
18987254,2,8,8,L,B,5,0
18987254,2,9,9,L,S,3,0
18987254,2,10,10,L,B,3,0
18987254,2,11,11,L,Y,2,0
18987254,2,12,12,L,B,4,0
18987254,2,13,13,L,B,1,0
18987254,2,14,14,L,Y,3,0
18987254,2,15,15,L,Y,1,0
18987254,2,16,1,R,S,5,0
18987254,2,17,2,R,S,2,0
18987254,2,18,3,R,B,6,0
18987254,2,19,4,R,S,1,0
18987254,2,20,5,R,B,2,0
18987254,2,21,6,R,Y,2,0
18987254,2,22,7,R,B,4,0
18987254,2,23,8,R,Y,4,1
18987254,2,24,9,R,Y,5,0
18987254,2,25,10,R,S,4,0
18987254,2,26,11,R,Y,1,0
18987254,2,27,12,R,Y,3,1
18987254,2,28,13,R,B,5,0
18987254,2,29,14,R,S,3,0
18987254,2,30,15,R,B,1,0
18698376,3,1,1,L,S,4,0
18698376,3,2,2,L,Y,5,0
18698376,3,3,3,L,S,5,0
18698376,3,4,4,L,S,1,0
